trade_id,timestamp,symbol,side,price,quantity,commission,strategy_name,entry_reason,exit_reason,pnl,roi,holdings_after
46fae36c-f7d9-48a5-af06-acd38212a01b,2019-01-18T00:00:00,AAPL,买入,39.21,2550,12.75,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2550
9f2acb8f-6e32-422d-851c-5ef370735198,2019-01-30T00:00:00,AAPL,卖出,41.31,2550,12.75,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,5342.250000000004,5.343024738587099,0
f5c9d002-8c92-4d0d-a4b1-63f0aaa66117,2019-02-04T00:00:00,AAPL,买入,42.81,2460,12.3,Default,布林趋势突破(挤压后开口+站稳上轨+ADX确认),,0.0,0.0,2460
f53a4e51-2ded-45f1-af7f-3c6b45d58678,2019-02-05T00:00:00,AAPL,卖出,43.55,2460,12.3,Default,布林趋势突破(挤压后开口+站稳上轨+ADX确认),突破上布林带,1808.0999999999874,1.7168885774351668,0
9cae7968-eb39-488f-97d5-00a500bc33a5,2019-02-07T00:00:00,AAPL,买入,42.74,2506,12.530000000000001,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2506
13c3850c-4c30-4afd-aca0-80d91456a413,2019-03-12T00:00:00,AAPL,卖出,45.23,2506,12.530000000000001,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,6227.409999999987,5.814225549836207,0
e4b893f2-672f-4aab-a9ed-5b6c38e9d673,2019-03-13T00:00:00,AAPL,买入,45.43,2494,12.47,Default,布林趋势突破(挤压后开口+站稳上轨+ADX确认),,0.0,0.0,2494
519ba34c-4c0e-4a14-8982-9f76db82b6ab,2019-05-01T00:00:00,AAPL,卖出,52.63,2494,12.47,Default,布林趋势突破(挤压后开口+站稳上轨+ADX确认),突破上布林带,17944.330000000005,15.837552278230248,0
cfcc86cf-39c5-4d97-bb08-532ab1ad465c,2019-05-02T00:00:00,AAPL,买入,52.29,2510,12.55,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2510
4257ec2a-8aec-4d27-8da3-9480c9b84230,2019-05-13T00:00:00,AAPL,卖出,47.061,2510,12.55,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),止损10.0%,-13137.339999999997,-10.009562057754827,0
e1ed208e-3d88-431a-8871-eae1d2a5d81d,2019-06-07T00:00:00,AAPL,买入,47.54,2484,12.42,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2484
4a0d7b95-a42f-4276-ad79-990b5e2e37af,2019-07-31T00:00:00,AAPL,卖出,53.26,2484,12.42,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,14196.059999999998,12.021455616323093,0
e32fafc9-35f6-45d8-87ce-af31ac4d1942,2019-08-16T00:00:00,AAPL,买入,51.63,2562,12.81,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2562
3c5e6157-361e-425b-86e9-81acc2820a55,2019-10-03T00:00:00,AAPL,卖出,54.345,2562,12.81,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),移动止盈,6943.01999999999,5.248886306410994,0
c02ac0d1-3b6d-47a2-8c20-4686c21d2111,2019-10-04T00:00:00,AAPL,买入,56.75,2453,12.265,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2453
18267f71-6ed3-4777-ab6f-4d7915bcda33,2019-10-31T00:00:00,AAPL,卖出,59.595,2453,12.265,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),移动止盈,6966.519999999997,5.0044052863436095,0
d5ebb1a0-a030-4348-987e-436544f037da,2019-11-06T00:00:00,AAPL,买入,64.31,2273,11.365,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2273
b6d4f0cf-bea8-473a-8147-77db52f736f0,2020-01-02T00:00:00,AAPL,卖出,75.09,2273,11.365,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,24491.575,16.754781526978697,0
d2106874-a362-480e-bc07-aa9b22b5574d,2020-01-03T00:00:00,AAPL,买入,74.36,2295,11.475,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2295
cb2c3039-3fba-484c-8b92-c63d84e19a82,2020-01-13T00:00:00,AAPL,卖出,79.24,2295,11.475,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,11188.124999999989,6.555944055944049,0
cdde99d0-346c-4255-9ef4-eac642eb4c67,2020-01-14T00:00:00,AAPL,买入,78.17,2326,11.63,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2326
fd3a44f2-0e26-4d70-bdfd-e53413dc830d,2020-02-27T00:00:00,AAPL,卖出,70.35300000000001,2326,11.63,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),止损10.0%,-18193.971999999983,-10.006396315722133,0
29664d03-2f7a-4e0d-ae4d-7dcb8eb44001,2020-04-06T00:00:00,AAPL,买入,65.62,2493,12.465,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2493
967e253c-8c9c-40c6-b838-b456f1716de3,2020-04-14T00:00:00,AAPL,卖出,71.76,2493,12.465,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,15294.555000000002,9.34928375495276,0
4d4af9d1-d847-46e4-a915-04f53c17e717,2020-04-17T00:00:00,AAPL,买入,70.7,2530,12.65,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2530
43030ccd-3aab-4f8c-88d4-5ae95c987a00,2020-05-08T00:00:00,AAPL,卖出,77.53,2530,12.65,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,17267.249999999993,9.653465346534649,0
d586cdf5-7729-457b-8725-17fb9764b5b3,2020-05-12T00:00:00,AAPL,买入,77.85,2519,12.595,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2519
12c7ae48-da5a-4dff-898c-5882f0edf45a,2020-06-05T00:00:00,AAPL,卖出,82.88,2519,12.595,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,12657.975000000004,6.454720616570329,0
9db557cc-414f-4e4f-8861-6d686cb5f373,2020-06-09T00:00:00,AAPL,买入,86.0,2428,12.14,Default,布林趋势突破(挤压后开口+站稳上轨+ADX确认),,0.0,0.0,2428
a4ca167d-4522-49d3-b298-c2a8279fa298,2020-07-23T00:00:00,AAPL,卖出,94.96199999999999,2428,12.14,Default,布林趋势突破(挤压后开口+站稳上轨+ADX确认),移动止盈,21747.595999999976,10.415116279069755,0
155fa822-7dd3-4748-b84c-cf24608ebdea,2020-08-10T00:00:00,AAPL,买入,112.73,2045,10.225,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2045
dee4d253-f477-4e49-9fc9-4b05386dd6c9,2020-09-01T00:00:00,AAPL,卖出,134.18,2045,10.225,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,43855.02500000001,19.02333008072386,0
62597b40-189b-43ee-8b2b-baab2e28e5aa,2020-10-01T00:00:00,AAPL,买入,116.79,2349,11.745000000000001,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2349
7fad3bad-3f26-4f80-a47e-4419c44eea48,2020-10-12T00:00:00,AAPL,卖出,124.4,2349,11.745000000000001,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,17864.145,6.51168764449011,0
7f5cc02b-b97e-4e07-a416-35a86d4ac0a1,2020-10-14T00:00:00,AAPL,买入,121.19,2411,12.055,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2411
a8a6905f-0b8b-4e13-b74d-c773cd6eff2c,2020-10-30T00:00:00,AAPL,卖出,109.071,2411,12.055,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),止损10.0%,-29230.964,-10.004125752949914,0
a733b581-5e8b-4725-bacb-ae5ef2565618,2020-11-06T00:00:00,AAPL,买入,118.69,2215,11.075000000000001,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2215
f680e6d0-018a-4123-ba48-ab710a9efa7e,2020-12-02T00:00:00,AAPL,卖出,123.08,2215,11.075000000000001,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,9712.775,3.6944982728115257,0
105ff7c9-619a-4a7e-b06f-b610f49617ac,2020-12-03T00:00:00,AAPL,买入,122.94,2218,11.09,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2218
f5bd68d9-e0b1-458e-937c-7805fd2a9322,2020-12-28T00:00:00,AAPL,卖出,136.69,2218,11.09,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,30486.41,11.180250528713193,0
a9ad3f35-a234-46cf-8a85-d6eb29bbab42,2020-12-30T00:00:00,AAPL,买入,133.72,2267,11.335,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2267
a25be700-7368-40fe-a352-404e793de726,2021-01-26T00:00:00,AAPL,卖出,143.16,2267,11.335,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,21389.144999999997,7.055788214178881,0
86b63fa9-b448-4615-a181-f4fb87ab1820,2021-01-27T00:00:00,AAPL,买入,142.06,2284,11.42,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2284
ea13c38d-d12b-4ccd-8493-fe2e6f896257,2021-02-18T00:00:00,AAPL,卖出,127.854,2284,11.42,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),止损10.0%,-32457.924000000006,-10.003519639588909,0
92c2aeb4-fd0d-4043-b2ba-b7d3307b03ee,2021-03-16T00:00:00,AAPL,买入,125.57,2326,11.63,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2326
b7fc1f43-0e5e-4783-a50a-e94277f74484,2021-04-07T00:00:00,AAPL,卖出,127.9,2326,11.63,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,5407.950000000029,1.851556900533577,0
a3538b21-77f1-42dc-9918-7f4a738b2804,2021-04-12T00:00:00,AAPL,买入,131.24,2266,11.33,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2266
da5bad9f-e184-4b57-a9f2-603ce724f83f,2021-06-14T00:00:00,AAPL,卖出,130.48,2266,11.33,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,-1733.4900000000437,-0.5829015544041597,0
0efc07eb-d5f0-4ce6-8099-c293364ccb91,2021-06-15T00:00:00,AAPL,买入,129.64,2281,11.405,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2281
f8884b09-a429-4313-8483-44cb803e071a,2021-07-06T00:00:00,AAPL,卖出,142.02,2281,11.405,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,28227.375000000055,9.545664918235133,0
6a24b968-111d-4bd3-8611-366b4c61b1af,2021-07-08T00:00:00,AAPL,买入,143.24,2261,11.305,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2261
03d63829-26c2-4ac6-8af7-b6c3f6ee30b7,2021-08-16T00:00:00,AAPL,卖出,151.12,2261,11.305,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,17805.37499999999,5.497765987154422,0
0c85c137-b708-4d23-a757-917ed05a8a8e,2021-08-17T00:00:00,AAPL,买入,150.19,2275,11.375,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2275
d6f6bf4f-e0f6-466a-b021-f0ea079b5ec7,2021-08-30T00:00:00,AAPL,卖出,153.12,2275,11.375,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,6654.3750000000155,1.9475331247087069,0
4d9b5599-0e0f-4323-9488-72ea13535409,2021-08-31T00:00:00,AAPL,买入,151.83,2294,11.47,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2294
40e58bfb-551b-4daa-965d-ac17fe71565a,2021-09-07T00:00:00,AAPL,卖出,156.69,2294,11.47,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,11137.369999999966,3.197655272344059,0
c43d83ec-0034-41d8-bceb-849bc0e50373,2021-09-08T00:00:00,AAPL,买入,155.11,2317,11.585,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2317
edfcc863-63d4-4dc9-a494-34014a98d5a8,2021-10-01T00:00:00,AAPL,卖出,139.59900000000002,2317,11.585,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),止损10.0%,-35950.571999999986,-10.003223518793108,0
7089285e-0338-483c-875b-21dd4dd6bedc,2021-10-14T00:00:00,AAPL,买入,143.76,2250,11.25,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2250
689f1e14-65a9-4445-bd69-09217b20cffa,2021-12-02T00:00:00,AAPL,卖出,161.785,2250,11.25,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),移动止盈,40545.000000000015,12.534780189204234,0
19b0b03f-883d-44ce-a73f-4ab40ab00f86,2021-12-06T00:00:00,AAPL,买入,165.32,2202,11.01,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2202
13bec662-c178-46a9-9d54-b16af172ceb0,2021-12-08T00:00:00,AAPL,卖出,175.08,2202,11.01,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),突破上布林带,21480.510000000046,5.90067747398985,0
6584cd75-3e50-4faf-8ffe-fde6a3a7583d,2021-12-13T00:00:00,AAPL,买入,175.74,2193,10.965,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,2193
89841373-5298-4531-91f2-f6b14d4e188c,2022-01-24T00:00:00,AAPL,卖出,158.16600000000003,2193,10.965,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),止损10.0%,-38550.74699999996,-10.002845112097406,0
a3e5009a-da62-4d63-b68e-030514854efd,2022-02-01T00:00:00,AAPL,买入,174.61,1987,9.935,Default,布林趋势回踩(MA5或上中轨1/2+不破MA10),,0.0,0.0,1987
