date,equity,in_position
2018-10-01,100000.0,False
2018-10-02,100000.0,False
2018-10-03,100000.0,False
2018-10-04,100000.0,False
2018-10-05,100000.0,False
2018-10-08,100000.0,False
2018-10-09,100000.0,False
2018-10-10,100000.0,False
2018-10-11,100000.0,False
2018-10-12,100000.0,False
2018-10-15,100000.0,False
2018-10-16,100000.0,False
2018-10-17,100000.0,False
2018-10-18,100000.0,False
2018-10-19,100000.0,False
2018-10-22,100000.0,False
2018-10-23,100000.0,False
2018-10-24,100000.0,False
2018-10-25,100000.0,False
2018-10-26,100000.0,False
2018-10-29,100000.0,False
2018-10-30,100000.0,False
2018-10-31,100000.0,False
2018-11-01,100000.0,False
2018-11-02,100000.0,False
2018-11-05,100000.0,False
2018-11-06,100000.0,False
2018-11-07,100000.0,False
2018-11-08,100000.0,False
2018-11-09,100000.0,False
2018-11-12,100000.0,False
2018-11-13,100000.0,False
2018-11-14,100000.0,False
2018-11-15,100000.0,False
2018-11-16,100000.0,False
2018-11-19,100000.0,False
2018-11-20,100000.0,False
2018-11-21,100000.0,False
2018-11-23,100000.0,False
2018-11-26,100000.0,False
2018-11-27,100000.0,False
2018-11-28,100000.0,False
2018-11-29,100000.0,False
2018-11-30,100000.0,False
2018-12-03,100000.0,False
2018-12-04,100000.0,False
2018-12-06,100000.0,False
2018-12-07,100000.0,False
2018-12-10,100000.0,False
2018-12-11,100000.0,False
2018-12-12,100000.0,False
2018-12-13,100000.0,False
2018-12-14,100000.0,False
2018-12-17,100000.0,False
2018-12-18,100000.0,False
2018-12-19,100000.0,False
2018-12-20,100000.0,False
2018-12-21,100000.0,False
2018-12-24,100000.0,False
2018-12-26,100000.0,False
2018-12-27,100000.0,False
2018-12-28,100000.0,False
2018-12-31,100000.0,False
2019-01-02,100000.0,False
2019-01-03,100000.0,False
2019-01-04,100000.0,False
2019-01-07,100000.0,False
2019-01-08,99996.87,True
2019-01-09,100810.66999999998,True
2019-01-10,101098.62999999999,True
2019-01-11,100729.29,True
2019-01-14,99840.37,True
2019-01-15,101787.22999999998,True
2019-01-16,101768.44999999998,True
2019-01-17,102569.72999999998,True
2019-01-18,103583.84999999999,True
2019-01-22,101511.79,True
2019-01-23,101643.25,True
2019-01-24,102300.54999999999,True
2019-01-25,103521.25,True
2019-01-28,102244.21,True
2019-01-29,101280.16999999998,True
2019-01-30,103853.03,True
2019-01-31,105405.51,True
2019-02-01,104961.04999999999,True
2019-02-04,106259.99999999999,False
2019-02-05,106259.99999999999,False
2019-02-06,106256.88499999998,True
2019-02-07,104830.21499999997,True
2019-02-08,105035.80499999998,True
2019-02-11,104936.12499999997,True
2019-02-12,106487.39499999996,True
2019-02-13,106562.15499999997,True
2019-02-14,106692.98499999997,True
2019-02-15,107141.54499999997,True
2019-02-19,107353.36499999998,True
2019-02-20,107334.67499999997,True
2019-02-21,106942.18499999998,True
2019-02-22,107733.39499999996,True
2019-02-25,108125.88499999998,True
2019-02-26,108238.02499999997,True
2019-02-27,108169.49499999998,True
2019-02-28,107920.29499999997,True
2019-03-01,108667.89499999996,True
2019-03-04,108686.58499999996,True
2019-03-05,108767.57499999998,True
2019-03-06,108150.80499999998,True
2019-03-07,106823.81499999997,True
2019-03-08,106661.83499999996,True
2019-03-11,108879.71499999997,True
2019-03-12,109477.79499999997,True
2019-03-13,110300.15499999997,True
